u,v,length,highway,geometry,edge_id
1814804291,1814804309,54.487,residential,"LINESTRING (77.6861069 12.8256734, 77.6860962 12.8251835)",204
1814804291,1814804310,45.887,residential,"LINESTRING (77.6861069 12.8256734, 77.6856991 12.8257838)",205
1814804293,11027164733,42.325,residential,"LINESTRING (77.6840738 12.8261232, 77.6836867 12.826074)",206
1814804293,2389211798,34.845,residential,"LINESTRING (77.6840738 12.8261232, 77.6840893 12.8258102)",207
1814804293,7207653988,21.335,residential,"LINESTRING (77.6840738 12.8261232, 77.6841196 12.8263098)",208
1814804293,1814804290,139.226,residential,"LINESTRING (77.6840738 12.8261232, 77.6841352 12.8260463, 77.6842586 12.8260097, 77.6850555 12.8259244, 77.6853076 12.8258983)",209
1814804304,7207653988,49.857,residential,"LINESTRING (77.6841543 12.8267561, 77.6841328 12.8263638, 77.6841196 12.8263098)",210
1814804308,5922720514,10.229,residential,"LINESTRING (77.6861236 12.824263, 77.686217 12.82425)",211
1814804308,1814804309,102.436,residential,"LINESTRING (77.6861236 12.824263, 77.6861123 12.8249934, 77.6860962 12.8251835)",212
1814804308,3203411671,133.236,residential,"LINESTRING (77.6861236 12.824263, 77.6858502 12.8243031, 77.6857474 12.8243518, 77.685731 12.8244206, 77.6857071 12.8251668)",213
1814804309,1814804291,54.487,residential,"LINESTRING (77.6860962 12.8251835, 77.6861069 12.8256734)",214
1814804309,3203411671,42.227,residential,"LINESTRING (77.6860962 12.8251835, 77.6857071 12.8251668)",215
1814804309,1814804308,102.436,residential,"LINESTRING (77.6860962 12.8251835, 77.6861123 12.8249934, 77.6861236 12.824263)",216
1814804310,1814804290,44.315,residential,"LINESTRING (77.6856991 12.8257838, 77.6853076 12.8258983)",217
1814804310,1814804291,45.887,residential,"LINESTRING (77.6856991 12.8257838, 77.6861069 12.8256734)",218
1814804310,3203411671,68.613,residential,"LINESTRING (77.6856991 12.8257838, 77.6857071 12.8251668)",219
1814889209,1814804291,43.43,residential,"LINESTRING (77.6864824 12.8255374, 77.6861069 12.8256734)",220
1814889209,1814889237,146.186,residential,"LINESTRING (77.6864824 12.8255374, 77.6864902 12.8252146, 77.6865009 12.8250734, 77.6865092 12.8249306, 77.6865242 12.8243668, 77.6865079 12.8242245)",221
1814889209,1814889221,181.933,residential,"LINESTRING (77.6864824 12.8255374, 77.6868533 12.8254238, 77.6868442 12.8249113, 77.6868311 12.8241669)",222
1814889221,5922720517,4.563,residential,"LINESTRING (77.6868311 12.8241669, 77.6867893 12.8241717)",223
1814889221,1814889209,181.93300000000002,residential,"LINESTRING (77.6868311 12.8241669, 77.6868442 12.8249113, 77.6868533 12.8254238, 77.6864824 12.8255374)",224
1814889221,5922720520,29.853,residential,"LINESTRING (77.6868311 12.8241669, 77.6869117 12.8241365, 77.6870775 12.8240482)",225
1814889237,5922720517,31.07,residential,"LINESTRING (77.6865079 12.8242245, 77.6867893 12.8241717)",226
1814889237,5922720514,31.667,residential,"LINESTRING (77.6865079 12.8242245, 77.686217 12.82425)",227
1814889237,5922720510,169.893,residential,"LINESTRING (77.6865079 12.8242245, 77.6862274 12.8227213)",228
1814889237,1814889209,146.186,residential,"LINESTRING (77.6865079 12.8242245, 77.6865242 12.8243668, 77.6865092 12.8249306, 77.6865009 12.8250734, 77.6864902 12.8252146, 77.6864824 12.8255374)",229
1814895817,1814804288,35.374,residential,"LINESTRING (77.6849857 12.8254746, 77.6849949 12.8251566)",230
1817170763,11176019020,127.67699999999999,tertiary,"LINESTRING (77.669796 12.8230406, 77.6697946 12.8227633, 77.6697786 12.8225963, 77.6696425 12.8222073, 77.669531 12.8219361)",231
1817170763,1472212597,75.975,tertiary,"LINESTRING (77.669796 12.8230406, 77.6697373 12.8231483, 77.6696469 12.8232103, 77.6692401 12.8234302)",232
